time,beat_pulses,rate_analogue
0.0,4.961031913757324,0
0.004,4.961032384707604,0
0.008,4.961034715911488,0
0.012,4.961040496826172,0
0.016,4.961050987243652,0
0.02,4.961063861846924,0
0.024,4.961080074310303,0
0.028,4.96110200881958,0
0.032,4.961127281188965,0
0.036,4.961155414581299,0
0.04,4.961183071136475,0
0.044,4.961209297180176,0
0.048,4.96123743057251,0
0.052,4.961268901824951,0
0.056,4.961304187774658,0
0.06,4.961342811584473,0
0.064,4.9613823890686035,0
0.068,4.961422920227051,0
0.072,4.961462020874023,0
0.076,4.961498737335205,0
0.08,4.961531162261963,0
0.084,4.961556911468506,0
0.088,4.961577892303467,0
0.092,4.961590766906738,0
0.096,4.961599349975586,0
0.1,4.961602210998535,0
0.104,4.961601257324219,0
0.108,4.961597442626953,0
0.112,4.96159029006958,0
0.116,4.961581462767066,0
0.12,4.9615702629089355,0
0.124,4.961554527282715,0
0.128,4.961536407470703,0
0.132,4.961512088775635,0
0.136,4.96148157119751,0
0.14,4.9614458084106445,0
0.144,4.961406230926514,0
0.148,4.96136474609375,0
0.152,4.96132230758667,0
0.156,4.9612836837768555,0
0.16,4.961247444152832,0
0.164,4.961214542388916,0
0.168,4.96118688583374,0
0.172,4.961161136627197,0
0.176,4.9611358642578125,0
0.18,4.961108684539795,0
0.184,4.961077690124512,0
0.188,4.961043357849121,0
0.192,4.961007118225098,0
0.196,4.9609694480896,0
0.2,4.960928916931152,0
0.204,4.96088981628418,0
0.208,4.9608540534973145,0
0.212,4.960821151733398,0
0.216,4.9607930183410645,0
0.22,4.9607672691345215,0
0.224,4.960743427276611,0
0.228,4.960721969604492,0
0.232,4.9607014656066895,0
0.236,4.96068000793457,0
0.24,0.022150376811623573,0
0.244,0.02214784547686577,0
0.248,0.022143235430121422,0
0.252,0.02213849313557148,0
0.256,0.022133979946374893,0
0.26,0.022129897164498886,0
0.264,0.02212650515139103,0
0.268,0.02212391048669815,0
0.272,0.02212170697748661,0
0.276,0.0221197959035635,0
0.28,0.022118067368865013,0
0.284,0.022116124629974365,0
0.288,0.02211417257785797,0
0.292,0.022111818194389343,0
0.296,0.022109458222985268,0
0.3,0.022107268660897163,0
0.304,0.022105557844042778,0
0.308,0.022104525938630104,0
0.312,0.02210381254553795,0
0.316,0.02210361510515213,0
0.32,0.02210370233146156,0
0.324,0.02210400626063347,0
0.328,0.022104496136307716,0
0.332,0.02210468426346779,0
0.336,0.022104086354374886,0
0.34,0.02210263327457184,0
0.344,0.02210090681910515,0
0.348,0.022099370136857033,0
0.352,0.022097976878285408,0
0.356,0.022096995264291763,0
0.36,0.022096542459799022,0
0.364,0.022096984088420868,0
0.368,0.022098496556282043,0
0.372,0.022100603207945824,0
0.376,0.02210312709212303,0
0.38,0.022105911746621132,0
0.384,0.02210906334221363,0
0.388,0.0221124067902565,0
0.392,0.022115731611847878,0
0.396,0.022119546309113503,0
0.4,0.022123711183667183,0
0.404,0.022128624841570854,0
0.408,0.022134894505143166,0
0.412,0.022142678499221802,0
0.416,0.022150984275775932,0
0.42,4.960720062255859,0
0.424,4.9607720375061035,0
0.428,4.960843563079834,0
0.432,4.960917949676514,0
0.436,4.960992813110352,0
0.44,4.961068153381348,0
0.444,4.961145877838135,0
0.448,4.961226940155029,0
0.452,4.96130895614624,0
0.456,4.961394786834717,0
0.46,4.961485385894775,0
0.464,4.9615797996521,0
0.468,4.961679307425895,0
0.472,4.961781024932861,0
0.476,4.961880683898926,0
0.48,4.961977005004883,0
0.484,4.962064266204834,0
0.488,4.962141036987305,0
0.492,4.96220588684082,0
0.496,4.962262688613519,0
0.5,4.962310314178467,0
0.504,4.962349891662598,0
0.508,4.962384223937988,0
0.512,4.962411880493164,0
0.516,4.962435245513916,0
0.52,4.962453365325928,0
0.524,4.962461471557617,0
0.528,4.96245813369751,0
0.532,4.9624457359313965,0
0.536,4.962423757065174,0
0.54,4.962390899658203,0
0.544,4.962346076965332,0
0.548,4.962294578552246,0
0.552,4.962238311767578,0
0.556,4.962182521820068,0
0.56,4.962124347686768,0
0.564,4.962066650390625,0
0.568,4.96201229095459,0
0.572,4.961958408355713,0
0.576,4.961904048919678,0
0.58,4.961847305297852,0
0.584,4.96178513986093,0
0.588,4.961719253916799,0
0.592,4.961650848388672,0
0.596,4.961580753326416,0
0.6,4.961509704589844,0
0.604,4.961440086364746,0
0.608,4.961374457289533,0
0.612,4.961312770843506,0
0.616,4.961254119873047,0
0.62,4.961196422576904,0
0.624,4.961142063140869,0
0.628,4.961090087890625,0
0.632,4.9610371589660645,0
0.636,4.960983753204346,0
0.64,4.960929870605469,0
0.644,4.96087646484375,0
0.648,4.960824966430664,0
0.652,4.960776329040527,0
0.656,4.9607319831848145,0
0.66,4.960691928863525,0
0.664,0.022146793082356453,0
0.668,0.022147266194224358,0
0.672,0.02214188393401472,0
0.676,0.02213681861758232,0
0.68,0.022132115438580513,0
0.684,0.02212764136493206,0
0.688,0.02212330885231495,0
0.692,0.02211855724453926,0
0.696,0.022113541141152382,0
0.7,0.022108346223831177,0
0.704,0.02210373803973198,0
0.708,0.022100131958723068,0
0.712,0.02209732122719288,0
0.716,0.022095137843635024,0
0.72,0.022093249298632146,0
0.724,0.022091371938586235,0
0.728,0.022089367732405663,0
0.732,0.022087283432483673,0
0.736,0.022084785625338554,0
0.74,0.022081956267356873,0
0.744,0.022079184651374817,0
0.748,0.022076552733778954,0
0.752,0.02207435481250286,0
0.756,0.022072847932577133,0
0.76,0.02207183837890625,0
0.764,0.02207132987678051,0
0.768,0.02207173779606819,0
0.772,0.02207285165786743,0
0.776,0.022074537351727486,0
0.78,0.022076552733778954,0
0.784,0.022079148308135742,0
0.788,0.022082174196839333,0
0.792,0.02208554821952087,0
0.796,0.022089455276727676,0
0.8,0.02209412229315537,0
0.804,0.022099805995821953,0
0.808,0.022106724614395373,0
0.812,0.022115066647529602,0
0.816,0.022125013172626495,0
0.82,0.022136308252811432,0
0.824,0.022148702293634415,0
0.828,4.960721015930176,0
0.832,4.960787773132324,0
0.836,4.960867404937744,0
0.84,4.960946083068848,0
0.844,4.961026191711426,0
0.848,4.961109638214111,0
0.852,4.961194038391113,0
0.856,4.961282730102539,0
0.86,4.9613728523254395,0
0.864,4.961466312408447,0
0.868,4.961562156677246,0
0.872,4.961659908294678,0
0.876,4.961757183074951,0
0.88,4.961850166320801,0
0.884,4.96193790435791,0
0.888,4.962019443511963,0
0.892,4.962092399597168,0
0.896,4.962155818939209,0
0.9,4.962208271026611,0
0.904,4.962253570556641,0
0.908,4.962292194366455,0
0.912,4.962325735789974,0
0.916,4.962350368499756,0
0.92,4.96236394172491,0
0.924,4.962369441986084,0
0.928,4.962368011474609,0
0.932,4.9623541831970215,0
0.936,4.962328910827637,0
0.94,4.962292671203613,0
0.944,4.962246417999268,0
0.948,4.962193965911865,0
0.952,4.962136268615723,0
0.956,4.9620771408081055,0
0.96,4.9620161056518555,0
0.964,4.961954593658447,0
0.968,4.961894512176514,0
0.972,4.96183443069458,0
0.976,4.961775302886963,0
0.98,4.96171575639306,0
0.984,4.961655139923096,0
0.988,4.9615936279296875,0
0.992,4.96152925491333,0
0.996,4.96146297454834,0
1.0,4.961397171020508,0
1.004,4.96133279800415,0
1.008,4.9612717628479,0
1.012,4.961215019226074,0
1.016,4.961161136627197,0
1.02,4.961111068725586,0
1.024,4.961061477661133,0
1.028,4.96101188659668,0
1.032,4.960962295532227,0
1.036,4.960912704467773,0
1.04,4.960862636566162,0
1.044,4.960812091827393,0
1.048,4.960762977600098,0
1.052,4.960714142496993,0
1.056,0.02215109020471573,0
1.06,0.022147253155708313,0
1.064,0.02214081399142742,0
1.068,0.022135507315397263,0
1.072,0.022130941972136497,0
1.076,0.022126996889710426,0
1.08,0.022123096510767937,0
1.084,0.022119347006082535,0
1.088,0.022115562111139297,0
1.092,0.022111326456069946,0
1.096,0.022107088938355446,0
1.1,0.022102786228060722,0
1.104,0.022098500281572342,0
